노선,승차승객,하차승객,총 승객,승차-하차,월,일,요일
11,5782,5573,11355,209,9,25,6
7,4350,5645,9995,-1295,9,25,6
9,6056,5115,11171,941,9,25,6
9,3554,3606,7160,-52,9,25,6
1,15695,13387,29082,2308,9,25,6
18,3269,5008,8277,-1739,9,25,6
17,4927,4352,9279,575,9,25,6
8,3378,3329,6707,49,9,25,6
9,3710,4148,7858,-438,9,25,6
18,2300,2401,4701,-101,9,25,6
11,9131,9616,18747,-485,9,25,6
1,17133,19682,36815,-2549,9,25,6
22,2382,2661,5043,-279,9,25,6
3,14332,13415,27747,917,9,25,6
11,3184,4059,7243,-875,9,25,6
11,2466,2372,4838,94,9,25,6
11,2139,1955,4094,184,9,25,6
10,421,380,801,41,9,25,6
19,7778,7630,15408,148,9,25,6
14,6615,6542,13157,73,9,25,6
12,6408,5794,12202,614,9,25,6
22,1618,1546,3164,72,9,25,6
22,3355,2990,6345,365,9,25,6
14,15351,14823,30174,528,9,25,6
19,1798,1707,3505,91,9,25,6
4,4146,4007,8153,139,9,25,6
11,4114,4946,9060,-832,9,25,6
7,4446,4523,8969,-77,9,25,6
9,3237,3676,6913,-439,9,25,6
18,6944,6539,13483,405,9,25,6
6,9070,9160,18230,-90,9,25,6
21,2498,2336,4834,162,9,25,6
13,1082,1078,2160,4,9,25,6
18,9523,9404,18927,119,9,25,6
2,11711,12042,23753,-331,9,25,6
18,6540,5475,12015,1065,9,25,6
11,38581,37656,76237,925,9,25,6
18,8705,8810,17515,-105,9,25,6
3,22601,21554,44155,1047,9,25,6
7,3316,2954,6270,362,9,25,6
3,9699,9290,18989,409,9,25,6
6,6734,7308,14042,-574,9,25,6
19,2228,2097,4325,131,9,25,6
0,11560,10680,22240,880,9,25,6
1,8346,6969,15315,1377,9,25,6
18,2280,2425,4705,-145,9,25,6
4,3362,3667,7029,-305,9,25,6
11,5343,4691,10034,652,9,25,6
4,2278,2533,4811,-255,9,25,6
21,1452,1369,2821,83,9,25,6
5,1,0,1,1,9,25,6
15,1113,1063,2176,50,9,25,6
8,18054,17136,35190,918,9,25,6
1,913,933,1846,-20,9,25,6
1,9277,9915,19192,-638,9,25,6
5,5258,5673,10931,-415,9,25,6
1,16985,16398,33383,587,9,25,6
6,8391,8212,16603,179,9,25,6
1,32486,33141,65627,-655,9,25,6
11,2696,2967,5663,-271,9,25,6
10,1162,1157,2319,5,9,25,6
1,38622,37257,75879,1365,9,25,6
20,1125,1574,2699,-449,9,25,6
8,2127,1862,3989,265,9,25,6
8,3166,3864,7030,-698,9,25,6
8,3791,3686,7477,105,9,25,6
