날짜,노선,역,승차승객,하차승객,총 승객,승차-하차,월,일,요일
2022-04-01,7호선,어린이대공원(세종대),14118,14354,28472,-236,4,1,금
2022-04-01,7호선,건대입구,12584,13775,26359,-1191,4,1,금
2022-04-01,7호선,뚝섬유원지,12123,11953,24076,170,4,1,금
2022-04-01,7호선,청담,18475,20724,39199,-2249,4,1,금
2022-04-01,7호선,강남구청,15317,17312,32629,-1995,4,1,금
2022-04-01,7호선,학동,22100,23650,45750,-1550,4,1,금
2022-04-01,7호선,논현,19506,21387,40893,-1881,4,1,금
2022-04-01,7호선,반포,5773,5563,11336,210,4,1,금
2022-04-01,7호선,고속터미널,16198,13299,29497,2899,4,1,금
2022-04-01,7호선,내방,13958,14209,28167,-251,4,1,금
2022-04-01,7호선,이수,15355,14774,30129,581,4,1,금
2022-04-01,7호선,남성,10896,9818,20714,1078,4,1,금
2022-04-01,7호선,숭실대입구(살피재),13992,13754,27746,238,4,1,금
2022-04-01,7호선,상도,10989,10413,21402,576,4,1,금
2022-04-01,7호선,장승배기,8748,8465,17213,283,4,1,금
2022-04-01,7호선,신대방삼거리,16356,15348,31704,1008,4,1,금
2022-04-01,7호선,보라매,9460,9281,18741,179,4,1,금
2022-04-01,7호선,신풍,11099,10618,21717,481,4,1,금
2022-04-01,7호선,대림(구로구청),7204,7473,14677,-269,4,1,금
2022-04-01,7호선,남구로,14939,15778,30717,-839,4,1,금
2022-04-01,7호선,가산디지털단지,42305,42277,84582,28,4,1,금
2022-04-01,7호선,철산,20262,20778,41040,-516,4,1,금
2022-04-01,7호선,광명사거리,21725,21499,43224,226,4,1,금
2022-04-01,7호선,천왕,11088,10447,21535,641,4,1,금
2022-04-01,7호선,온수(성공회대입구),10320,9854,20174,466,4,1,금
2022-04-01,8호선,암사,18128,15953,34081,2175,4,1,금
2022-04-01,8호선,천호(풍납토성),14462,17016,31478,-2554,4,1,금
2022-04-01,8호선,강동구청,10257,10332,20589,-75,4,1,금
2022-04-01,8호선,몽촌토성(평화의문),5977,6110,12087,-133,4,1,금
2022-04-01,8호선,잠실(송파구청),14090,16426,30516,-2336,4,1,금
2022-04-01,8호선,석촌,7711,9041,16752,-1330,4,1,금
2022-04-01,8호선,송파,7754,7598,15352,156,4,1,금
2022-04-01,8호선,가락시장,7516,8321,15837,-805,4,1,금
2022-04-01,8호선,문정,21016,22003,43019,-987,4,1,금
2022-04-01,8호선,장지,16979,16116,33095,863,4,1,금
2022-04-01,8호선,복정,9660,8074,17734,1586,4,1,금
2022-04-01,8호선,산성,5358,5260,10618,98,4,1,금
2022-04-01,8호선,남한산성입구(성남법원.검찰청),14833,13211,28044,1622,4,1,금
2022-04-01,8호선,단대오거리,11128,10282,21410,846,4,1,금
2022-04-01,8호선,신흥,4055,4378,8433,-323,4,1,금
2022-04-01,8호선,수진,5336,4788,10124,548,4,1,금
2022-04-01,8호선,모란,4490,3792,8282,698,4,1,금
2022-04-01,8호선,남위례,4658,4795,9453,-137,4,1,금
2022-04-01,9호선,개화,2409,1716,4125,693,4,1,금
2022-04-01,9호선,김포공항,7252,12324,19576,-5072,4,1,금
2022-04-01,9호선,공항시장,3016,3225,6241,-209,4,1,금
2022-04-01,9호선,신방화,6745,6479,13224,266,4,1,금
2022-04-01,9호선,마곡나루(서울식물원),11883,11772,23655,111,4,1,금
2022-04-01,9호선,양천향교,9786,9781,19567,5,4,1,금
2022-04-01,9호선,가양,20123,19063,39186,1060,4,1,금
2022-04-01,9호선,증미,7007,6777,13784,230,4,1,금
2022-04-01,9호선,등촌,10895,10320,21215,575,4,1,금
2022-04-01,9호선,염창,16856,16074,32930,782,4,1,금
2022-04-01,9호선,신목동,3942,3373,7315,569,4,1,금
2022-04-01,9호선,선유도,8291,7873,16164,418,4,1,금
2022-04-01,9호선,당산,18142,17838,35980,304,4,1,금
2022-04-01,9호선,국회의사당,14600,14813,29413,-213,4,1,금
2022-04-01,9호선,여의도,26482,25126,51608,1356,4,1,금
2022-04-01,9호선,샛강,5630,5852,11482,-222,4,1,금
2022-04-01,9호선,노량진,26055,24712,50767,1343,4,1,금
2022-04-01,9호선,노들,4437,3632,8069,805,4,1,금
2022-04-01,9호선,흑석(중앙대입구),9319,9087,18406,232,4,1,금
2022-04-01,9호선,동작(현충원),2072,1712,3784,360,4,1,금
2022-04-01,9호선,구반포,1244,1297,2541,-53,4,1,금
2022-04-01,9호선,신반포,3383,3285,6668,98,4,1,금
2022-04-01,9호선,고속터미널,12707,16803,29510,-4096,4,1,금
2022-04-01,9호선,사평,3435,3342,6777,93,4,1,금
2022-04-01,9호선,신논현,31736,31458,63194,278,4,1,금
2022-04-01,9호선2~3단계,언주,9900,9910,19810,-10,4,1,금
2022-04-01,9호선2~3단계,선정릉,9073,10050,19123,-977,4,1,금
2022-04-01,9호선2~3단계,삼성중앙,6352,6672,13024,-320,4,1,금
2022-04-01,9호선2~3단계,봉은사,15961,16401,32362,-440,4,1,금
2022-04-01,9호선2~3단계,종합운동장,3986,4170,8156,-184,4,1,금
2022-04-01,9호선2~3단계,삼전,6622,6485,13107,137,4,1,금
2022-04-01,9호선2~3단계,석촌고분,5807,5625,11432,182,4,1,금
2022-04-01,9호선2~3단계,석촌,8561,7683,16244,878,4,1,금
2022-04-01,9호선2~3단계,송파나루,5237,5501,10738,-264,4,1,금
2022-04-01,9호선2~3단계,한성백제,2501,2133,4634,368,4,1,금
2022-04-01,9호선2~3단계,올림픽공원(한국체대),5951,5827,11778,124,4,1,금
2022-04-01,9호선2~3단계,둔촌오륜,1250,1026,2276,224,4,1,금
2022-04-01,9호선2~3단계,중앙보훈병원,10024,8810,18834,1214,4,1,금
2022-04-01,경강선,판교,4354,4405,8759,-51,4,1,금
2022-04-01,경강선,이매,1105,925,2030,180,4,1,금
2022-04-01,경강선,삼동,2245,2057,4302,188,4,1,금
2022-04-01,경강선,경기광주,7614,7162,14776,452,4,1,금
2022-04-01,경강선,초월,3041,2862,5903,179,4,1,금
2022-04-01,경강선,곤지암,2217,2184,4401,33,4,1,금
2022-04-01,경강선,신둔도예촌,1689,1445,3134,244,4,1,금
2022-04-01,경강선,이천,2688,2893,5581,-205,4,1,금
2022-04-01,경강선,부발,2569,2012,4581,557,4,1,금
2022-04-01,경강선,세종대왕릉,338,363,701,-25,4,1,금
2022-04-01,경강선,여주,2179,2302,4481,-123,4,1,금
2022-04-01,경부선,서울역,6849,2493,9342,4356,4,1,금
2022-04-01,경부선,남영,9364,9732,19096,-368,4,1,금
2022-04-01,경부선,용산,33746,35565,69311,-1819,4,1,금
2022-04-01,경부선,노량진,8583,8371,16954,212,4,1,금
2022-04-01,경부선,대방,12697,12721,25418,-24,4,1,금
2022-04-01,경부선,영등포,38355,39677,78032,-1322,4,1,금
